# x/sigma rho.sigma3
0.02625 0.60460
0.15535 0.59080
0.28028 0.55172
0.36897 0.53103
0.44960 0.51264
0.59886 0.49425
0.73198 0.48046
0.84913 0.49885
0.92598 0.52989
1.06757 0.59425
1.20097 0.63333
1.33019 0.64483
1.47143 0.63908
1.61261 0.61954
1.72153 0.60805
1.87094 0.62069
1.99609 0.62644
2.10106 0.63103
2.22631 0.65632
2.34334 0.65057
2.65412 0.64828
2.78331 0.65287
2.92052 0.64828
3.04972 0.65517
3.17081 0.65632
3.34838 0.65057
3.46547 0.65632
3.57848 0.65517
3.72379 0.65632
3.86910 0.65632
3.99422 0.65517
