# x rho
1.51379 1.66945
1.62091 1.59568
1.90794 1.41549
2.22353 1.26269
2.52390 1.16363
2.82363 1.11094
3.13804 1.04245
3.41829 1.00346
3.71785 0.96341
4.03149 0.95077
4.33038 0.95814
4.62920 0.97079
4.91823 0.99397
5.22199 0.99819
5.52578 1.00030
5.81997 0.99924
6.10935 0.99713
6.41306 1.00556
6.70735 0.99713
7.00623 1.00556
7.31005 1.00556
7.59954 0.99503
7.90339 0.99292
