# x/sigma rho.sigma3
0.00000 0.17475
0.19014 0.18586
0.39779 0.19899
0.58654 0.20808
0.80367 0.22626
0.98309 0.24949
1.17678 0.28687
1.38929 0.31717
1.58285 0.33838
1.78585 0.36061
2.00763 0.37071
2.20586 0.38586
2.40407 0.39798
2.59763 0.41818
2.80058 0.43333
2.99869 0.43333
3.19687 0.44242
3.39980 0.45455
3.60265 0.45657
3.80089 0.47374
3.99432 0.47778


