# x rho
0.49373 1.12200
0.60115 1.11323
0.89268 1.08623
1.19960 1.06262
1.50655 1.04103
1.80335 1.02888
2.11035 1.01201
2.41227 0.99987
2.70405 0.99649
3.00095 0.99379
3.30807 0.98974
3.60506 0.99582
3.90714 0.99852
4.20923 1.00324
4.51129 1.00391
4.81334 1.00459
5.10514 1.00324
5.40716 1.00054
5.70407 0.99852
6.01121 0.99649
