# x rho
0.50179 2.78984
0.60918 2.52129
0.90374 1.80745
1.20950 1.29974
1.51596 0.99470
1.82637 0.81785
2.12306 0.71895
2.42349 0.68761
2.72770 0.73941
3.02172 0.87783
3.32649 1.08900
3.62414 1.26553
3.92807 1.23592
4.22467 1.10930
4.53879 0.99654
4.83906 0.92016
5.13597 0.88536
5.44351 0.88865
5.74069 0.93007
6.04493 0.98880
6.34571 1.06139
6.64635 1.09068
6.94334 1.07493
7.23677 1.04359
7.53367 1.00186
7.81663 0.97399
