# x rho
0.52518 5.24818
0.57655 3.21395
0.62791 2.03900
0.67324 1.33754
0.72461 0.99558
0.77295 0.64485
0.82432 0.49579
0.87267 0.37304
0.92403 0.32919
0.97540 0.29412
1.02073 0.26782
1.07209 0.26782
1.12346 0.27659
1.17483 0.33796
1.22318 0.41688
1.27152 0.54840
1.32289 0.72377
1.37124 0.99558
1.42260 1.30247
1.47397 1.52168
1.52232 1.53921
1.57066 1.37262
1.62505 1.18848
1.67340 0.99558
1.72175 0.84652
1.77311 0.72377
1.82146 0.62731
1.87283 0.56594
1.92117 0.53086
1.96952 0.51333
2.02089 0.52210
2.07226 0.54840
2.12362 0.59224
2.17197 0.65362
2.22334 0.73253
2.27168 0.82898
2.32003 0.93420
2.37140 0.99558
2.42277 1.09203
2.47111 1.09203
2.52248 1.05696
2.57083 0.98681
2.62219 0.90790
2.67054 0.85529
2.72191 0.78514
2.77328 0.74130
2.81860 0.71500
2.86997 0.67116
2.92134 0.65362
2.96968 0.67992
