atom sigma/AA epsilon/kB  mass/u
H    2.57113  22.14167    1.00784
C    3.43085  52.83807    12.0107
N    3.26069  34.72216    14.0067
O    3.11815  30.19318    15.999
Zn   2.46155  62.39924    65.38
