Pressure (bar)	Bulk adsorption (molecules/uc)	Bulk adsorption (molecules/nm^3)	Bulk adsorption (%w.t.)	Bulk adsorption (cm^3 STP/cm^3)	Bulk adsorption (mol/kg)	Ideal adsorption (molecules/uc)	Ideal adsorption (molecules/nm^3)	Ideal adsorption (%w.t.)	Ideal adsorption (cm^3 STP/cm^3)	Ideal adsorption (mol/kg)	Absolute adsorption (molecules/uc)	Absolute adsorption (molecules/nm^3)	Absolute adsorption (mg/g)	Absolute adsorption (%w.t.)	Absolute adsorption (mol/kg)	Absolute adsorption (cm^3 STP/cm^3)	Excess adsorption (molecules/uc)	Excess adsorption (molecules/nm^3)	Excess adsorption (mg/g)	Excess adsorption (%w.t.)	Excess adsorption (mol/kg)	Excess adsorption (cm^3 STP/cm^3)
0.05	0.021068409274388154	0.0007935723423635459	0.002413459294427321	0.0299275393758082	0.0015044053753604696	4.323992287574814	0.16286947169685184	0.49289873023195563	6.142203132744312	0.3087578732558904	2.66847825050354	0.10051212259164588	3.056908088631511	0.3047591880361586	0.19054466674758533	3.790556129575269	2.647409841229152	0.09971855024928233	3.0327729131946035	0.302360301187992	0.18904026137222488	3.760628590199461
0.1	0.042140252136607124	0.0015872740158171673	0.0048271953968569295	0.05985995614096595	0.0030090559286041945	8.648689270369177	0.32576548676623585	0.9810414608208403	12.285407280499122	0.6175660657960929	4.324069976806641	0.16287239797500006	4.953491558499533	0.49290754249906354	0.30876342071305457	6.14231348979663	4.281929724670033	0.16128512395918287	4.9052172742369375	0.4881273566816713	0.3057543647844504	6.082453533655663
0.15000000000000002	0.06321552882154681	0.002381105029208334	0.007241208285668365	0.08979725062913287	0.004513951676503662	12.97409099659091	0.4886880470239698	1.4644966837062698	18.42961251174333	0.9264245810629225	5.6283111572265625	0.21199854295695864	6.447581088065547	0.6406276103416235	0.40189372860846145	7.994979667590032	5.5650956284050155	0.2096174379277503	6.375163761319398	0.6334778510920592	0.39737977693195775	7.9051824169608995
0.2	0.08429423956421084	0.0031750653913888015	0.009655497939247144	0.11973942317413004	0.00601909263583948	17.300197514471176	0.6516371542867508	1.9433315819645773	24.574818894988987	1.2353334225003612	6.73996639251709	0.25387065762309174	7.72105141891345	0.7661893544887135	0.4812722943909151	9.574078753486576	6.655672152952879	0.2506955922317029	7.624487115756677	0.7566794190940271	0.4752532017550756	9.454339330312445
0.25	0.10537638459971611	0.00396915511121459	0.012070064335984712	0.14968647410993954	0.007524478823400346	21.627008872264387	0.8146128103721517	2.4176120609251943	30.721026498781182	1.5442925935540512	7.724433422088623	0.2909520431449919	8.84881973597595	0.8771204924729711	0.5515688921009755	10.972507814170493	7.619057037488907	0.2869828880337773	8.728104522212137	0.8652583865843846	0.5440444132775751	10.822821340060553
0.3	0.12646196416329225	0.004763374197545965	0.014484907454278386	0.17963840377070353	0.009030110255983005	25.954525118248085	0.9776150170986163	2.88740277840353	36.86823539169785	1.8533020976712862	8.610962867736816	0.32434446682514767	9.864394448904784	0.9768038662545284	0.6148721840618827	12.231817169087144	8.484500903573524	0.3195810926276017	9.719524390068049	0.9625964592433954	0.6058420738058997	12.052178765316441
0.35000000000000003	0.14755097849028112	0.005557722659247422	0.016900027272531284	0.2095952124907236	0.010535986950392217	30.282746300722845	1.1406437762854562	3.3527671740794847	43.016445642349645	2.162361938301004	9.433802604675293	0.35533792479949367	10.807008632483013	1.069146586854772	0.673627665180017	13.400655703904391	9.286251626185011	0.34978020214024624	10.63797979383787	1.0526004372018487	0.6630916782296247	13.191060491413667
0.4	0.16864342781613603	0.006352200505187652	0.019315423769152233	0.23955690060445964	0.0120421089234407	34.61167246801214	1.3036990897528455	3.8137674980496286	49.16565731937973	2.4714721188937787	10.193829536437988	0.38396544691771567	11.677666834341979	1.1542873009031391	0.7278979514019809	14.480269054431696	10.025186108621853	0.377613246412528	11.48447528088322	1.135407963398949	0.7158558424785402	14.240712153827237
0.45	0.18973931237642178	0.007146807744239547	0.021731096922555787	0.26952346844652997	0.01354847619194913	38.94130366846228	1.4667809593218186	4.270464838580046	55.31587049146376	2.7806326429018147	10.917236328125	0.41121361808641593	12.506374384220534	1.235189693677393	0.7795533493873049	15.507863732367762	10.727497015748579	0.4040668103421764	12.289016180673094	1.2139829618066065	0.7660048731953558	15.238340263921234
0.5	0.21083863240681344	0.007941544385280153	0.024147046711162065	0.29949491635170944	0.015055088772746068	43.27163995044225	1.6298893868142634	4.722919149085808	61.467085227309546	3.0898435137789333	11.603357315063477	0.43705736507549026	13.292368721763395	1.3117999436363368	0.8285463268567845	16.482494165341727	11.392518682656663	0.4291158206902101	13.050839932582228	1.2882709749740449	0.8134912380840384	16.18299924899002
0.55	0.23194138814309628	0.008736410437190666	0.026563273113396756	0.3294712446549296	0.016561946682667927	47.60268136234363	1.7930243740529195	5.1711892743621295	67.61930159565702	3.399104734980573	12.257568359375	0.4616991775670256	14.041808231960111	1.384736617165993	0.8752607512285802	17.411796730795633	12.025626971231905	0.45296276712983496	13.776104921330068	1.3588902770991143	0.8586988045459123	17.082325486140704
0.6000000000000001	0.25304757982116505	0.009531405908856403	0.028979776107691025	0.3594524536912773	0.018069049938558953	51.93442795258048	1.9561859228613732	5.615332976091294	73.77251966527804	3.7084163099637752	12.87701416015625	0.48503150649091936	14.751421989733744	1.4536980850747687	0.9194927376259892	18.291715492227528	12.623966580335084	0.47550010058206293	14.461540221569443	1.4255385392344084	0.9014236876874301	17.93226303853625
0.6500000000000001	0.27415720767702373	0.0103265308091668	0.03139655567248149	0.38943854379599474	0.019576398557271182	56.26687976958924	2.119374035064053	6.055406957648575	79.92673950497625	4.0177782421871795	13.4796781539917	0.5077317241968456	15.441811142103608	1.5206987709847846	0.9625264066635671	19.147795805220973	13.205520946314676	0.49740519338767886	15.127746980049308	1.49023086257405	0.942950008106296	18.75835726142498
0.7000000000000001	0.2952702719467841	0.011121785147015353	0.03381361178621005	0.41942951530447725	0.021083992555664354	60.60003686182854	2.282588712486225	6.491466888229519	86.08196118358684	4.3271905351110105	14.061474800109863	0.5296459428370023	16.10829544757685	1.5852931739408194	1.0040700272752507	19.974234185482604	13.76620452816308	0.5185241576899869	15.770044955006325	1.5525211669049428	0.9829860347195866	19.55480467017813
0.7500000000000001	0.31638677286666655	0.011917168931299642	0.03623094442732397	0.4494253685522742	0.022591831950605955	64.93389927777925	2.445829956953991	6.923567426320178	92.23818476997656	4.63665319219708	14.6244535446167	0.5508513577860221	16.753222674353314	1.6477176861350407	1.0442699416788204	20.773941857976578	14.308066771750033	0.5389341888547224	16.39078191436974	1.6126456679878325	1.0216781097282144	20.324516489424308
0.8	0.33750671067299837	0.012712682170921284	0.03864855357427571	0.4794261038750871	0.024099916758971114	69.2684670659442	2.60909777029428	7.3517622425310325	98.39541033304334	4.94616621690877	15.170581817626953	0.5714220751666912	17.378846636205118	1.708198149948311	1.0832666356794316	21.54971354448095	14.833075106953954	0.5587093929957698	16.992211671640945	1.6708300689649005	1.0591667189204605	21.070287440605867
0.8500000000000001	0.358630085602214	0.013508324874785923	0.041066439205522914	0.5094317216087696	0.0256082469976426	73.60374027484819	2.7723921543348515	7.77610404181469	104.55363794171642	5.255729612711029	15.70156478881836	0.5914223226801929	17.98712071123433	1.7669300863715558	1.121181868181408	22.303971427515926	15.342934703216144	0.577913997805407	17.57628760465115	1.7272697702130309	1.0955736211837654	21.79453970590716
0.9000000000000001	0.37975689789085365	0.014304097051803194	0.04348460129952828	0.5394422220893254	0.02711682268351076	77.93971895303777	2.93571311090428	8.196644585086602	110.71286766495577	5.565343383070358	16.212467193603516	0.610666206392733	18.572391246377094	1.8233746963876538	1.1576632329599885	23.029704995592674	15.832710295712662	0.5963621093409297	18.137356060065528	1.7814252617399795	1.1305464102764777	22.490262773503346
0.9500000000000001	0.4008871477755636	0.015099998710886723	0.045903039834759594	0.569457605652909	0.028625643833473484	82.27640314908123	3.0990606418319624	8.613434710267537	116.87309957175239	5.8750075314548145	16.717056274414062	0.6296722895561484	19.150429475571517	1.8790581764682015	1.1936937901621592	23.746470527716554	16.3161691266385	0.6145722908452617	18.691188271551102	1.8348237902464921	1.1650681463286856	23.177012922063643
1.0	0.4220208354930952	0.015896029860954092	0.04832175478968956	0.5994778726358243	0.030134710464436172	86.61379291156841	3.2624347489481043	9.026524352765653	123.03433373112782	6.184722061333989	17.210634231567383	0.6482636226983867	19.715853776596827	1.9334654554577757	1.22893808992064	24.447594829763126	16.788613396074286	0.6323675928374326	19.232402616615875	1.8869496855910046	1.1988033794562036	23.8481169571273
1.05	0.44315796128030427	0.016692190510926824	0.050740746142795806	0.6295030233745235	0.0316440225933117	90.95188828911063	3.425835434083723	9.435962565415599	129.19657021213413	6.494486976179012	17.693832397460938	0.6664639858743604	20.269387380047853	1.986670151115448	1.263441212993072	25.13397470532768	17.250674436180635	0.6497717953634337	19.761722325583353	1.9378764561309891	1.2317971903997604	24.50447168195316
1.1	0.4642985253741508	0.017488480669730362	0.05316001387256081	0.6595330582056064	0.03315358023702037	95.29068933034054	3.5892626990706384	9.841797537891312	135.35980908385366	6.804302279462531	18.167516708374023	0.6843059958361247	20.81202226988247	2.038771273834017	1.297264992201114	25.806840211305264	17.703218182999873	0.6668175151663943	20.280139382139946	1.9877030434426737	1.2641114119640935	25.147307153099657
1.1500000000000001	0.48544252801169824	0.018284900346294045	0.0555795579574718	0.6895679774658204	0.034663383412489875	99.6301960839121	3.752716545741472	10.244076615608655	141.5240504153991	7.11416797465872	18.632427215576172	0.7018175276933654	21.34460622093691	2.089853521615373	1.3304622714540244	26.46724258574714	18.146984687564473	0.6835326273470713	20.788501560850335	2.0365140799551913	1.2957988880415345	25.77767460828132
1.2000000000000002	0.5065899694301127	0.01908144954955108	0.05799937837602068	0.7196077814920585	0.03617343213665523	103.97040859850021	3.916196975929635	10.642846318133486	147.6892942759128	7.424084065243245	19.089237213134766	0.7190239420484513	21.867910533513225	2.1399938590982934	1.363081127813578	27.116138238529864	18.582647243704653	0.6999424924989003	21.28758016174487	2.084386472062402	1.3269076956769228	26.396530457037805
1.2500000000000002	0.5277408498666628	0.01987812828843854	0.06041947510670404	0.749652470621359	0.03768372642645877	108.31132692280099	4.079703991469338	11.038152357110196	153.85554073456726	7.734050554693289	19.538589477539062	0.7359494500146923	22.3826715481264	2.18926554322696	1.3951674592112697	27.754440229507242	19.0108486276724	0.7160713217262538	21.778111525066716	2.1313934287123795	1.357483732784811	27.004787758885882
1.3	0.5488951695587191	0.020674936571897323	0.06283984812802304	0.7797020451909054	0.03919426629885014	112.6529511055313	4.2432375941955724	11.430039653725155	160.0227898605645	8.044067446487517	19.975406646728516	0.7524028053498617	22.883072830204075	2.237115212679114	1.4263587128469783	28.374936198647088	19.426511477169797	0.7317278687779644	22.25427921597162	2.17698078339567	1.387164446548128	27.595234153456182
1.35	0.570052928743753	0.021471874408872146	0.06526049741848328	0.8097565055380244	0.04070505177078614	116.99528119542883	4.406797785944115	11.818552355719195	166.19104172313607	8.354134744106078	20.411148071289062	0.7688156411956939	23.382241779787833	2.2848004220908926	1.4574731521403623	28.993904079485603	19.84109514254531	0.7473437667868218	22.729210634229105	2.2224074953460997	1.416768100369576	28.18414757394758
1.4000000000000001	0.5912141276593369	0.022268941808311515	0.06768142295659486	0.8398158520001856	0.042216082859230813	121.33831724125193	4.5703845685515185	12.203733853962559	172.36029639154293	8.664252451030597	20.841398239135742	0.7850216408539341	23.875120152687213	2.331839077125616	1.4881954841792193	29.60507166560862	20.250184111476404	0.7627526990456226	23.197847535376575	2.267190806866364	1.4459794013199883	28.765255813608434
1.4500000000000002	0.6123787665431427	0.02306613877916769	0.07010262472087221	0.8698800849150009	0.04372735958115529	125.68205929177938	4.733997943855108	12.585626798605443	178.53055393507498	8.974420570744163	21.266189575195312	0.8010220256567077	24.36174509367598	2.3782365175544644	1.5185280242894708	30.208485016415292	20.65381080865217	0.77795588687754	23.660227063915507	2.311335972462101	1.4748006647083156	29.338604931500292
1.5000000000000002	0.6335468456329426	0.023863465330396703	0.07252410268983411	0.899949204620224	0.04523888195353788	130.02650739581057	4.897637913692984	12.964273114816754	184.70181442305145	9.284639106731328	21.6859130859375	0.8168315234325857	24.84256452502585	2.424037153115259	1.5484986925778128	30.804699554071888	21.052366240304558	0.7929680581021891	24.116797141845243	2.3548873731152113	1.5032598106242747	29.904750349451668
1.55	0.6547183651666071	0.0246609214709583	0.07494585684200349	0.9300232114537482	0.0467506499933639	134.371661602165	5.0613044799040035	13.339714018123223	190.8740779248201	9.594908062478087	22.100942611694336	0.8324642154225437	25.31800670412833	2.469283338299377	1.5781341833901594	31.394246316356885	21.446224246527727	0.8078032939515853	24.567986026284792	2.397887339967551	1.5313835333967953	30.464223104903134
1.6	0.6758933253821049	0.025458507209815913	0.07736788715590752	0.960102105753607	0.04826266371762567	138.71752195968241	5.224997644327786	13.711990029360742	197.04734450975755	9.905227441471878	22.51161766052246	0.8479328896923652	25.788460558614474	2.5140135174235465	1.6074587395508617	31.977607572273183	21.835724335140355	0.8224743824825493	25.014182644592605	2.440374296095557	1.559196075833236	31.017505466519577
1.6500000000000001	0.697071726517503	0.026256222555936688	0.07979019361007741	0.9901858878579725	0.04977492314332257	143.06408851722273	5.3887174088047125	14.081140989249304	203.22161424726895	10.21559724720158	22.918251037597656	0.8632493285049074	26.254284426301666	2.5582630761905545	1.6364946971452763	32.5552276595538	22.221179311080153	0.8369931059489708	25.45574533431334	2.4823836084719972	1.5867197740019536	31.56504177169582
1.7000000000000002	0.7182535688109652	0.027054067518291407	0.08221277618304848	1.020274558105155	0.05128742828746082	147.4113613236656	5.552463775175906	14.447206072602441	209.39688720678748	10.526017483157482	23.321157455444336	0.8784253859660933	26.715838829993974	2.602067467902153	1.6652645284544023	33.12755362530816	22.60290388663337	0.8513713184478019	25.89303461797824	2.5239507184703993	1.6139771001669416	32.107279067203
1.7500000000000002	0.7394388525007519	0.027852042105854496	0.0846356348533599	1.050368116833602	0.05280017916705361	151.75934042791064	5.7162367452832425	14.810223802181998	215.57316345777483	10.836488152831294	23.031845092773438	0.8675280141555609	26.38441349369121	2.5706171242294866	1.6446059648252327	32.71658728167124	22.292406240272687	0.8396759720497065	25.53734021931417	2.4901424080621903	1.5918057856581793	31.66621916483764
1.8	0.7606275778252193	0.028650146327603987	0.08705876959955476	1.0804665643818971	0.054313175799120934	156.10802587887707	5.880036320969334	15.170232062208337	221.75044306972035	11.147009259716128	23.32956314086914	0.8787419983588401	26.72546806634272	2.6029809230967507	1.6658647426505466	33.13949384719464	22.568935563043922	0.8500918520312362	25.85412178699742	2.5202532443853287	1.611551566851426	32.05902728281275
1.85	0.7818197450228195	0.029448380192521533	0.08948218040018005	1.1105699010887595	0.05582641820068964	160.45741772550383	6.043862504077539	15.52726811153612	227.92872611214156	11.457580807306512	23.670814514160156	0.8915957287050859	27.116392775237408	2.6400506277550235	1.6902320498184513	33.62423922014649	22.888994769137337	0.8621473485125644	26.220769548043748	2.5550807707382104	1.6344056316177618	32.51366931905773
1.9000000000000001	0.8030153543320989	0.030246743709592325	0.09190586723378642	1.1406781272930433	0.05733990638879332	164.80751601674916	6.207715296451939	15.881368596505064	234.10801265458323	11.768202799098342	24.004013061523438	0.9041461376258318	27.498092470321264	2.6762183474433585	1.7140243389840593	34.0975456058497	23.200997707191338	0.8738993939162395	26.57818835212585	2.589007700893143	1.6566844325952659	32.95686747855666
1.9500000000000002	0.8242144059916985	0.03104523688780513	0.09432983007892827	1.170791243333736	0.05885364038047229	169.15832080159075	6.371594699937352	16.232569563475217	240.28830276661793	12.078875238588902	24.33230209350586	0.9165116224941772	27.8741680096616	2.7118268828212826	1.7374660605660786	34.56387805664577	23.508087687514163	0.8854663856063721	26.92997905703768	2.6223773388878677	1.6786124201856063	33.39308681331203
2.0	0.8454169002403523	0.031843859736152204	0.09675406891416351	1.2009092495499583	0.06036762019277355	173.50983212902534	6.5355007163793095	16.580906471055567	246.4695965178452	12.389598129276845	24.651521682739258	0.9285354935827377	28.239853937284604	2.7464267047372233	1.7602601718683915	35.0173274225609	23.806104782498906	0.8966916338465856	27.27137620653194	2.6547392284245883	1.699892551675618	33.816418173010945
3.0	1.2701900973689895	0.0478435613096548	0.1452967705467384	1.80429683412233	0.0906988650792213	260.68850824224904	9.819212614430661	22.99606466334522	370.3063431905529	18.61465609418824	30.377225875854492	1.1442024871860403	34.79900481578344	3.362875752086601	2.169108322370095	43.15065326895006	29.107035778485503	1.0963589258763857	33.343922923317486	3.2267981824471312	2.078409457290874	41.34635643482773
4.0	1.696342344768757	0.06389520682157462	0.19394968841370275	2.40964335070295	0.12112858207211814	348.15021487091815	13.113585269361055	28.51157037684409	494.5451328834637	24.85992406277299	35.04751968383789	1.3201159103808715	40.14911734348199	3.8599386063050223	2.502594112290843	49.784775476027576	33.35117733906913	1.256220703559297	38.205851501298994	3.679988072312574	2.3814655302187244	47.375132125324626
5.0	2.123875573097151	0.07999886899294022	0.24271265156175315	3.016951541778329	0.1516569090314932	435.89534825511026	16.418633606130527	33.30422190522877	619.1865284530498	31.12543032884744	39.054412841796875	1.4710413811912122	44.739263095104945	4.282337677494967	2.7887092872346164	55.47654134205576	36.93053726869972	1.391042512198272	42.3062313035127	4.058906109637697	2.6370523782031228	52.45958980027743
