atom sigma/AA epsilon/kB  mass/u
H    2.84642  7.64893    1.00784
C    3.47299  47.8562    12.0107
N    3.26256  38.9492    14.0067
O    3.03315  48.1581    15.999
F    3.09320  36.48345   18.998
Al   3.91104  155.9982   26.9815
Si   3.80414  155.9982   28.0855
Br   3.51905  186.1914   79.904
Cu   3.11369  2.5161     63.546
Zn   4.04468  27.6771    65.38
